Group.1	year	month	Almaty	Andizhan	Ashbagat	Bairam.ali	Baityk	Chardzhou	Charvak	Dzhizak	Fergana	Kattakurgan	Leninabad	Namangan	Naryn	Osh	Panfilov	Przhevalsk	Rybache	Samarkand	Serahs	Tashkent	Termez
1943	1943	6.5	7.20833333333333	12.25	15.625	14.625	6.38333333333333	15.1	11.775	13.3833333333333	12.5583333333333	12.9166666666667	13.9083333333333	13.4	3.61666666666667	9.9	9.71666666666667	5.05833333333333	6.85	12.775	16.075	12.275	16.4166666666667
1944	1944	6.5	7.525	13.3083333333333	17.1583333333333	16.375	7.10833333333333	16.5083333333333	13.1	15.0416666666667	13.5916666666667	14.0583333333333	15.225	14.4166666666667	1.54166666666667	11.2333333333333	9.5	5.05	7.1	14.025	17.85	13.7916666666667	17.9583333333333
1945	1945	6.5	7.16666666666667	12.0416666666667	16.05	15.2166666666667	6.10833333333333	15.6083333333333	11.5416666666667	13.625	12.1	13.0166666666667	13.725	13.2416666666667	1.91666666666667	9.75833333333333	9.475	4.75	6.50833333333333	12.9833333333333	16.9083333333333	12.5166666666667	16.5583333333333
1946	1946	6.5	7.275	13.2833333333333	16.3333333333333	15.6	6.875	15.8083333333333	12.7666666666667	14.5583333333333	13.0083333333333	13.775	14.325	14.1916666666667	2.65833333333333	11.1416666666667	9.66666666666667	4.99166666666667	6.925	13.8333333333333	17.2416666666667	13.1666666666667	17.2916666666667
1947	1947	6.5	7.56666666666667	13.4083333333333	17.2666666666667	16.475	7.05833333333333	16.625	12.9083333333333	14.9583333333333	13.5333333333333	13.975	15.0333333333333	14.4833333333333	3.825	11.2916666666667	9.85833333333333	5.475	7.25833333333333	14.2833333333333	18.275	13.625	18.0583333333333
1948	1948	6.5	7.44166666666667	12.7583333333333	16.3333333333333	15.7583333333333	6.48333333333333	15.9	12.15	14.4083333333333	12.5916666666667	13.275	14.1833333333333	13.5916666666667	2.7	10.5083333333333	9.66666666666667	5.15833333333333	6.86666666666667	13.6166666666667	17.4416666666667	12.675	17.3666666666667
1949	1949	6.5	6.50833333333333	11.8916666666667	14.9	14.15	5.15833333333333	14.3416666666667	10.9833333333333	12.7833333333333	11.7666666666667	12.0416666666667	12.8166666666667	12.4583333333333	2.225	9.74166666666667	9.125	4.39166666666667	6.20833333333333	12.2083333333333	15.6666666666667	11.325	15.6583333333333
1950	1950	6.5	7.025	12.1333333333333	15.2416666666667	14.3	5.83333333333333	14.5916666666667	11.5916666666667	13.125	11.9333333333333	12.075	13.2916666666667	12.7666666666667	1.56666666666667	9.84166666666667	9.28333333333333	4.74166666666667	6.4	12.5166666666667	15.7416666666667	11.7583333333333	15.5333333333333
1951	1951	6.5	6.73333333333333	12.2083333333333	16.2583333333333	15.025	6.16666666666667	14.9833333333333	11.875	13.6916666666667	12.2	12.7916666666667	13.8	13.2583333333333	2.23333333333333	9.88333333333333	9.13333333333333	4.65833333333333	6.425	13.2	16.525	12.3	16.5833333333333
1952	1952	6.5	6.44166666666667	12.9333333333333	15.9583333333333	15.1916666666667	6.15	15.4666666666667	12.2666666666667	14.0083333333333	13.0916666666667	13.2	14.2916666666667	13.9416666666667	2.09166666666667	10.8416666666667	9.125	5.14166666666667	6.8	13.575	16.575	12.7083333333333	16.8833333333333
1953	1953	6.5	7.58333333333333	12.8166666666667	16.5666666666667	15.55	6.78333333333333	15.725	12.1	14.2083333333333	12.725	12.975	14.2	13.4	1.55833333333333	10.3333333333333	10.2166666666667	4.68333333333333	6.64166666666667	13.2916666666667	17.025	12.8916666666667	16.875
1954	1954	6.5	5.75833333333333	11.825	15.75	14.7416666666667	5.50833333333333	14.7666666666667	11.4833333333333	13.25	11.825	12.425	13.2	12.3083333333333	0.916666666666667	9.49166666666667	8.075	4.43333333333333	6.28333333333333	12.8333333333333	16.1	11.9916666666667	16.2666666666667
1955	1955	6.5	7.91666666666667	13.8416666666667	17.6916666666667	16.6583333333333	7.19166666666667	16.5583333333333	13.4	15.525	13.4916666666667	14.1833333333333	15.0416666666667	14.2083333333333	3.24166666666667	11.4083333333333	9.825	4.975	7.01666666666667	14.7166666666667	18.1083333333333	14.1583333333333	17.8083333333333
1956	1956	6.5	7.85	13.2666666666667	16.2333333333333	15.4083333333333	6.98333333333333	15.475	13.025	14.6666666666667	13.0916666666667	13.4833333333333	14.4666666666667	13.8583333333333	2.03333333333333	10.8833333333333	9.79166666666667	5.00833333333333	7.11666666666667	14.025	16.6	13.3083333333333	16.625
1957	1957	6.5	6.81666666666667	11.8	15.825	14.7	5.58333333333333	14.775	11.525	13.5083333333333	11.7083333333333	12.0333333333333	13.1916666666667	12.3333333333333	2.23333333333333	9.48333333333333	9.375	4.15	6.41666666666667	12.55	15.9083333333333	11.8916666666667	15.8583333333333
