date	ws	wd
08.11.2016	6.6	245
09.11.2016	11.5	243
10.11.2016	3.1	267
11.11.2016	6.9	270
12.11.2016	4.7	0.3
13.11.2016	3.6	100
14.11.2016	4.6	322
15.11.2016	5.5	274
16.11.2016	4.6	263
17.11.2016	4.2	277
18.11.2016	2.7	303
19.11.2016	1.5	68
20.11.2016	1.7	329
21.11.2016	1.9	78
22.11.2016	6.2	257
23.11.2016	10.5	255
24.11.2016	8	245
25.11.2016	9.1	230
26.11.2016	12.9	243
27.11.2016	15	223
28.11.2016	13.5	230
29.11.2016	6.2	207
30.11.2016	6.4	187
01.12.2016	6	224
02.12.2016	3	354
03.12.2016	4.7	118
04.12.2016	10	205
05.12.2016	12.1	243
06.12.2016	5.4	202
07.12.2016	10.2	222
08.12.2016	13.5	217
09.12.2016	8	227
10.12.2016	9.9	193
11.12.2016	15.9	193
12.12.2016	8.1	216
13.12.2016	9.7	216
14.12.2016	7.4	48
15.12.2016	3.9	352
16.12.2016	2.6	268
17.12.2016	3	269
18.12.2016	3.7	169
19.12.2016	8.1	214
20.12.2016	7.7	214
21.12.2016	3.5	302
22.12.2016	5.4	116
23.12.2016	3.2	35
24.12.2016	5	208
25.12.2016	8.2	206
26.12.2016	4	209
27.12.2016	4	199
28.12.2016	7.7	251
29.12.2016	9.7	240
30.12.2016	8.2	251
31.12.2016	10.1	233
