year	month	Almaty	Andizhan	Ashbagat	Bairam.ali	Baityk	Chardzhou	Charvak	Dzhizak	Fergana	Kattakurgan	Leninabad	Namangan	Naryn	Osh	Panfilov	Przhevalsk	Rybache	Samarkand	Serahs	Tashkent	Termez
1909	10	56	17	0	6	45.2	0	32.3	19	7	2	5	10.4	24	28	21.8	84	11.9	10	4.4	16	0
1909	11	5	17	0	0	19.7	0	19.5	1	0	2	0	18	13	5	6.9	27	4	0	0.1	5	0
1909	12	10	1	1	7	6.5	2	6.2	2	0	4	1	0	4	1.5	3.7	15	2	5	5.1	6	2
1910	1	31	4	17	40	20.2	18	42	32	13	41	10	9.8	4	15.4	5.3	1	3.8	40	33.3	15	18
1910	2	24	39	17	28	53.9	4	100.4	81	35	30	37	31	19	56.4	14.1	33	8.8	13	24.6	31	21
1910	3	71	106	60	51	128.8	39	327.4	178	83	97	94	82.4	30	147.1	29.1	40	18.8	90	60.2	172.1	55
1910	4	59	16	16	0	62.5	12	63.6	27	25	30	14	18.7	50	34.7	19.4	47	14.5	25	7.9	27	17
1910	5	22	20	21	1	52.7	2	71.4	35	18	10	33	18.9	37	34.4	18.1	62	11.2	37	6.7	24	5
1910	6	47	29	7	0	75.8	0	54.4	2	28	0	23	22	54	45	32.5	132	18.4	1	0	12	0
1910	7	22	1	1	0	30.3	0	4	1	0	0	0	1.3	43	4.4	10.1	31	8.6	0	0	1	0
1910	8	2	0	0	0	7.5	0	3.6	0	1	0	1	0.7	1	1.7	7.7	45	2.5	0	0	3	0
1910	9	3	2	3	0	18	0	6.7	2	1	4	0	1.8	13	4.1	12.6	67	5.3	2.3	0	2	0
1910	10	32	8	1	1	20.8	0	31	18	5	6	3	6.2	6	11.4	9.6	32	5.1	8.4	1.6	25	0
1910	11	14	8	1	0	10.8	0	12.2	0	7	0	2	5.2	4	10.3	3	5	2.2	1.2	0.4	5	0
1910	12	4	24	6	7	27.1	3	48.8	52	25	23	9	18.3	7	34.6	6.2	14	3.7	26.9	8.7	12	13
1911	1	46	11	37	22	55.4	46	91.7	140	16	79	15	17.1	43	29.2	14.2	19	11.7	76.5	32.5	41	11
1911	2	55	12	16	19	39.7	21	88.4	63.2	16	52	19	16.3	12	26.8	11.9	16	8	48.9	22	56	16
1911	3	95	24	74	51	49.5	51	104.1	145	15	70	22	19.8	10	23	14.1	4	10.3	58	59	47	63
1911	4	84	20	38	20	66.7	24	114	91	31	77	27	42	10	18	20.3	34	21	79	28.8	46	21
1911	5	88	10	42	22	68.8	26	112.4	104	49	34	12	10	31	5	23.5	53	21	55	29	89	11
1911	6	42	17	0	0	73.1	0	28.2	0	9	0	24	3	59	0	3	26	36	3	0	0	0
1911	7	55	5	11	0	74	0	12.6	6	7	1	0	8	44	0	24.7	69	38	4	0	1	0
1911	8	44	1	4	0	47.4	0	1.5	2	0	0	0	0	9	0	10	44	30	0	0	1	0
1911	9	41	8	12	0	15.2	0	12	0	2.9	4	3	3.4	1	0	5	26	4.4	2	0	7	0
1911	10	81	20.4	4	2	50.6	0	94.3	45	17.3	11	40	20	18	18	15	33	11.3	22	4.5	49	0
1911	11	48	5.2	6	8	20.4	0	19.1	18	3.5	10	0	4.2	3	6	9	25	5.5	21	6.7	12	1
1911	12	16	32	19	9	35.5	6	87.1	63	22.7	23	15	36	0	44.8	7	16	4.5	37	12.3	41	0
1912	1	27	17	12	13.6	16.3	9.8	37.1	23	11.1	13	10	14	6	20.8	5	9	0	21.1	15	8	42
1912	2	63	68	55	28.1	52	20.5	128.9	109	34.1	53	16	38	26	72.5	3	11	1	54	35.4	65	16
1912	3	77	53	28	13.7	48	3	126	85	29.6	38	18	35	20	61	18	6	0	34	19.4	77	17.9
1912	4	24	13	51	22	23.6	16	52.4	39	15.1	73	3	41	13	12	1	11	1	6	28.5	10	28
1912	5	97	49	37	11	63.3	0	100.9	116	27.7	27	31	39	35	36	7	15	8	3	17.7	26	3
1912	6	77	4	53	4.1	95.4	0	27.3	5	7.5	0	2	14	31	11	22	32	55	6	0	8	0
1912	7	28	16	3	0.4	89.7	0	21.3	0	8.3	0	0	14	16	3	9	47	59	0	0	0	0
1912	8	2	2	2	0.1	22.3	0	2.8	0	1.1	0	0	0	6	3	8	38	13	0	0	0	0
1912	9	13	1	0	0.1	38.9	0	6.1	7	1.5	0	1	0	58	0	10	35	12	0	0	0	0
1912	10	30	4	0	0.2	12.3	0	5.6	1	1.9	0	0	0	7	9	12	31	0	0.7	0.3	4	0
1912	11	29	4	38	9.9	16.5	5	43.2	28	8.2	23	6	15	3	19	8	26	0	10	15.1	29	3
1912	12	44	52	9	17.1	50.6	11	98.2	45	22.2	49	21	16	13	32	13.5	24	8.8	52	19	55	29
1913	1	55	48	35	23	26	17	114.7	123	21.3	40.7	24	15	18	28	12.3	25	0	19	27.2	79	20
1913	2	38	45	59	30	12	41	50.6	63	14.5	56	6	3	12	31	7.3	10	1	73	37.7	24	7
1913	3	19	40	22	19	13	24	84.1	34	17.4	26.4	14	17	15	24	8.5	24	0	22	21.6	62	1
1913	4	63	48	32	60	36	24	98.3	64.1	16	52	19	29	39	90	17.8	35	6	46	48.7	38	0
1913	5	79	9	4	2	143	9	54.2	28	5	2	7	16	89	30	26.6	59	16	13.3	5.3	30	11
1913	6	46	14	0	0	37	0	16.5	0	4	0	0	8	54	14	18.2	76	2	1.1	0	1	0
1913	7	0	0	0	0	1	0	0	0	0	0	0	0	8	0	2.5	13	2	0	0	0	0
1913	8	0	0	0	0	6	0	0.2	0	0	0	0	0	0	0	11.4	25	40	0	0	0	0
1913	9	26	8	3	0	6	0	5.1	1	0	1	2	0	26	11	8.3	35	0	0	0	0	0
1913	10	38	19	52	33	55	18	82.2	56	24	54	15	9	15	12	9.2	15	0	10	33.4	62	5
1913	11	64	19	21	41	53	17	71.2	36	18	58	13	16.8	18	29.6	18.7	73	0	12	33.5	43	3
1913	12	20	12	19	2	9	7	48.4	35	10	17	8	9.9	1	16.7	3.3	1	0	13	10.2	35	55
1914	1	16.3	24	38	25	17	47	113.3	47	10	37.8	29	42	6	20	5	6	0	23	15	79	9
1914	2	20.1	31	13	10	22	14	110.9	36	18	24.6	8	55	10	14	11	1	0	14	18	80	17
1914	3	41.2	18	22	12	35	24	102.5	33	10	32	25	30	12	37	7	5	13	15	26	78	57
1914	4	47.6	45	59	34	96	28	73.3	44	21	39.3	15	0	14	54	20	30	4	48	68	37	8
1914	5	141.8	46	11	4	186	4	115.9	41	25	27.8	16	51	64	60	45	29	39	32	5	45	2
1914	6	67.3	25	7	1	45	1	53.4	35	15	11	10	25	21	7	15	62	16	4	0	19	0
1914	7	63.4	2	0	0	26	0	2.2	0	0	0.1	0	0	8	2	16	81	17	0	0	0	0
1914	8	65.1	1	7	0	31	0	7.8	0	0	0.5	0	10	9	0	3	25	30	0	0	0	0
1914	9	18.4	0	0	0	25	0	2.3	0	0	0.2	2	0	1	0	5	32	2	0	0	0	0
1914	10	22.7	18	31	6	22	20	52.6	34	0	18.5	24	10	17	44	7	16	2	10	31	24	5
1914	11	19.9	18	42	25	19	34	127.6	101	1	59.7	15	14.5	9	22	10	18	0	61	35	123	38
1914	12	20.2	23	12	16	17	8	57.2	30	11.5	14.9	5	13	11	22	11	22	0	8	24	45	4
1915	1	16	6	2	25	24	3	14.5	1	0	27	0	2.2	10	0	16	15	0	8	16.7	11	0
1915	2	29.2	41	11	17	34	18	65.6	12	39	13	5	28.2	31	67	2	16	0	14	18.4	21	30
1915	3	33.6	46	60	56	45	33	126.4	82	48	69	46	35.6	24	34	8	14	1	97	54.9	33	14
1915	4	90.1	41	39.8	26	132	5	154.1	120.3	17	84	23	31.4	47	69	24	29	19	120	31.8	98	44
1915	5	100	5	42	1	80	10	22.3	1	19	9	2	2	83	4	59	77	20	8	8.7	9	1
1915	6	36	1	16	0	61	0	18.4	13	0	1	0	7	30	4	4	30	33	6	0	15	0
1915	7	33	13	28	0	138	0	48.8	1	6	3	9	36	51	30	17	55	35	1	0	11	0
1915	8	6	0	0	0	18	0	1.3	0	0	0	0	1	7	0	11	45	30	0	0	0	0
1915	9	1	0	0	0	4	0	1.7	1	0	0	2	0	10	1	0	19	7	0	0	0	0
1915	10	47	5	5	1	35	0	13	1	2	3	0	4	20	15	4	58	1	1	1.5	8	0
1915	11	4	5	5	0	3	0	4.5	8	0	10	0	0	9	0	0	11	0	10	1.2	1	0
1915	12	41	25	24	11	16	8	71.7	25	17	31	8	37	3	51	18	18	0	7	13.5	31	7
1916	1	27	14	27.6	25	17	15	62	45.2	13.8	45	1	24	18	33	31	2	0	36	24.9	47	4
1916	2	24	23	14	4	15	35	41	80	0	27	14	49	8	8	18	12	0	16	13.3	16	3
1916	3	78	46	23	45	54	37	157	155	3	90	29	25.7	24	59	14	39	8	45	46.6	44	53
1916	4	127	6	43	51	95	28	99	46	2	47	9	29	42	20	10	53	5	44	46.4	26	32
1916	5	45	8	16	4	26	0	10	11	1	15	3	13	28	19	0	19	15	29	6	4	4
1916	6	75	1	9	0	96	0	18	27	1	9	4	10	29	0	24	46	27	16	0	7	0
1916	7	42	4	0	0	40	0	2	0	0	0	0	2	6	0	39	40	28	0	0	1	0
1916	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	1.5	0	0	0	0
1916	9	66	0	15	0	25	0	3.3	2	0	0	2	0	4	0	11	40	6.5	2	0	1	0
1916	10	27	7	0	5	45	1	60.2	11	6	8.8	11	57	7	12	17	31	7	5	4.8	16	0
1916	11	36	7	14	1	15	10	26.4	21	13	9.2	6	1	7	14	2	40	5.3	5	5.2	15	0
1916	12	31	16	6	3	7	4	36.6	21	12	10.9	2	17	7	21.7	16	5	4.2	10	4.7	17	3
1917	1	15	3	21.2	22	7	12	14.9	9	1	14.2	0	5	2	4.8	1	1	1.6	14	21	9	23
1917	2	57	16	12.2	5	26	6	70.3	25	3	20.4	10	10.7	4	18.1	3	5	5.7	21	8.6	61	18
1917	3	63	14	11.6	4	31	13	38.7	19	1	15.6	0	21	8	17.8	6	7	6.6	15.5	7.8	23	8
1917	4	30	0	0	0	26	0	1.2	0	0	0	0	0	3	1.3	2	35	4.3	0	0	0	0
1917	5	13	7	2.2	0	12	0	33.5	0	0	2.3	0	48	29	21.8	1	30	6.3	0	1	0	1
1917	6	37	0	0	0	43	0	2.5	0	0	0	0	0	0	1.8	44	53	6.9	0	0	1	0
1917	7	5	0	0	0	28	0	3.4	0	0	0	0	0	46	3.4	11	39	7.7	0	0	0	0
1917	8	8	0	0	0	25	0	1.3	0	0	0	0	0	4	1.1	27	32	3.8	0	0	0	0
1917	9	7	0	0	0	3	0	0.4	0	0	0	0	0	2	0.4	1	11	1.1	0	0	0	0
1917	10	38	7	9.9	1	30	1	34.8	14	3	8.3	0	27	5	16.9	3	36	6	9.2	18	16	0
1917	11	11	7	6.1	2	11	2	26.1	16	3	4.9	4.7	5	17	9.4	8	19	4.1	1	9	19	0
1917	12	20	7	3.1	2	15	0	37.4	5	4	6.6	7.2	29	7	17.8	7	13	3.9	7.3	1	12	4
1918	1	8	12	27.6	25	5	13.3	79.3	14	5	19.9	14.3	41	5	26	5	1	2.7	16	25.9	50	25
1918	2	21	4	43.2	39	22	21.6	89.8	66	3	36.8	18.6	40	3	22.4	8	3	4	27	40.8	55	46
1918	3	81	38	56.6	58	45	25.9	91.8	55	26	33.4	20.2	25.9	21	48.4	16	30	11.8	28	57.4	44	19.4
1918	4	56	17	17.5	7	77	10.3	139	76	11	40.5	19.3	18.2	47	31.6	22	39	14.4	45.7	11.1	38	16
1918	5	107.4	19	12.2	1	156	7.2	60	64	15	33.7	15.9	18.1	44	35.5	28	77	21.7	38.3	5.2	29	14
1918	6	5	0	0.1	0	5	0.1	3	2	0	0.7	0.3	0.3	1	0.7	3	14	1.2	0.9	0	0	0
1918	7	73	9	1.5	0	75	0.9	10	5	14	2.6	4.9	9.7	46	21.8	19	78	15.6	0	0	3	0
1918	8	4	0	0	0	1	0	0	0	0	0	0.1	0.2	7	1	2	30	2.1	0	0	0	0
1918	9	4	0	0.1	0	1	0.1	0	0	0	0.1	0.2	0.3	5	0.9	4	25	1.8	0.1	0	0	0.1
1918	10	28.9	6	6.5	4.2	38	3	27	7	5	6.4	4.1	5.6	18	10.9	2	22	6.4	6.7	5.1	5	3.6
1918	11	69.4	6	19.9	12.9	37	9.2	109	5	30	17.6	15.8	19.7	60	33.1	10	53	15.2	17	15.8	39	11.3
1918	12	30	29	22.4	15.9	9	12.7	69	55.7	32	34.7	20.1	24.4	7	43.7	19	12	5.2	38.3	18.6	53	15.7
1919	1	28	14	15.3	10	21	8.8	57	65	11	30.3	12.5	11.9	16	20.9	7	29	0	35	12.2	25	11.4
1919	2	24	12	27.1	20.1	15	16.9	136	109	23	53.3	22.5	19.9	15	31	12	20	6.1	60.8	22.8	44	20
1919	3	65	45	24.7	13	34	13.8	126	83.4	42	49.4	30.2	35.7	17	63.9	20	20	10.6	55.4	17.5	81	21.3
1919	4	44	7	21.6	16	51	12.1	64	84	8	37.2	13	10.4	22	18	18	33	9.3	43.1	18.4	18	13.8
1919	5	82	9	25.4	17.9	107	14.4	103	79	10	41.7	17.8	15.1	35	25.7	9	33	15	46.8	20.8	41	16.7
1919	6	55	2	2.3	0	63	1.7	16	4	9	6.6	5.5	7.3	36	14.4	34	43	12.1	6.8	0	16	3.8
1919	7	31	2	0.7	0	44	0.4	4	1	3	0.9	1.4	2.8	12	6.2	23	19	6.2	0	0	0	0.9
1919	8	0	0	0.2	0	0	0.1	3	0	0	0.2	0.3	0.5	14	1.3	8	17	2.3	0	0	0	0.2
1919	9	29	0	0.8	0	56	0.4	4	1	2	0	1.3	2.2	21	6.2	29	72	1	1.1	0	0	1
1919	10	2	2	0.6	0	7	0.2	0	1	4	0	0.9	2.1	6	4.4	0	13	1.6	0.7	0.2	0	0.6
1919	11	42	2	4.5	2	22	2.7	48	22	1	7	5.1	3.9	2	5.8	6	24	0	10.5	3	10	3.9
1919	12	22	13	21.4	19	13	11.4	48	22	15	35	10.8	12	1	20.2	4	17	0	27.2	20	31	10.8
1920	1	18.4	32	23.4	16	15	13.5	69.5	52	25	48	17.1	21.7	5	39.5	14	13	0	36	19.1	28	15.7
1920	2	29	43	40.3	29	29	22.2	85	106	21	62	26.7	27	26	48.9	35	32	0	67	33.7	75	25.9
1920	3	48	47	23.7	9	26	14.4	127	56.7	44	43	25.5	34.6	19	62.8	6	24	0	60	15.4	48	20.5
1920	4	58	21	32.8	25	86	18.1	49	48.8	14	61	18	18.4	56	34.8	9	19	16	57	28.1	54	19.5
1920	5	28	32	16.1	3	116	9.7	68	56.7	13	20	37	21.8	17	40.9	7	10	10.3	44	8.8	32	15.8
1920	6	61	32	5.3	0	88	5.4	30	14.5	21	26	3	20.5	107	45.9	27	70	37	32	0	28	8.7
