Sample Nr,Date sampled,Time,Month,Location,Country,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
120,01-10-19,06:40,10,BAL,KZ,UA101,reservoir,43.05687,76.98622,6,8.1,130,60,0.57,0,0.01
121,01-10-19,08:00,10,FPP,KZ,UA102,streamwater,43.19164,76.89008,10,7.9,310,150,0.2,0.004,0.02
122,01-10-19,09:00,10,Darhan,KZ,UA103,streamwater,43.31162,76.86975,11,8,210,100,0.74,0.001,0.02
123,01-10-19,09:45,10,Kazcik,KZ,UA104,streamwater,43.39003,76.88078,11,7.6,240,120,0.81,0.005,0.02
124,01-10-19,10:42,10,Kosozen (UA),KZ,UA105,streamwater,43.56118,76.90803,12,8.1,440,220,2.79,0.004,0.01
125,01-10-19,11:05,10,Kaskelen (Kas),KZ,Kas106,streamwater,43.56196,76.89783,13,8.3,620,310,1.4,0,0.02
126,01-10-19,12:15,10,Arna village,KZ,Kas107,streamwater,43.7784,77.13354,13,8.2,660,330,2.12,0.019,0.01
127,01-10-19,13:10,10,AgroBioCenter,KZ,G108,groundwater,43.47,76.97755,13,8.2,210,100,0.78,0.015,0.01
128,01-10-19,14:33,10,upstream of Almaty city,KZ,KA101,streamwater,43.17401,77.01527,7,8.1,200,100,0.83,0.007,0.01
129,01-10-19,15:05,10,"city, Makataeva-Kopernika str. Crossing",KZ,KA102,streamwater,43.25161,76.95948,8,8.2,240,110,0.92,0.003,0.02
130,01-10-19,15:50,10,Otegen Batyr village,KZ,KA103,streamwater,43.4063,77.01521,12,8.3,640,320,3.23,0.009,0.02
1,19-06-19,13:10,6,Alplager,KG,streamflow,streamwater,42.565388,74.479548,11,7.2,50,20,0.8,0.003,0.01
2,19-06-19,14:55,6,Baityk,KG,streamflow,streamwater,42.630273,74.491362,12,7.8,100,50,0.86,0,0.01
3,19-06-19,15:37,6,Zarechnoe,KG,streamflow,streamwater,42.647609,74.495405,21,8.1,16,70,0.82,0.014,0
