Sample_n	Date	Time	Month	Location	Country	Sample description	Sample type	Coordinate 1	Coordinate 2	T [C]	pH	EC [microS/cm]	TDS    [mg/L]	NO+3-N [mg/L]  	PO3-4-P [mg/L]
97	05-06-2020	16:05	6	Baityk	KG	streamflow	streamflow	42.647609	74.495405	16	7.4	70	30	0.587	0.042
98	05-06-2020	16:35	6	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	26	7.8	140	70	0.236	0.064
99	05-06-2020	17:15	6	Bridge	KG	streamflow	streamflow	42.950108	74.592261	28	8.1	670	330	3.99	0.094
100	17-06-2020	15:00	6	Alplager	KG	streamflow	streamflow	42.565388	74.479548	12	7.9	50	20	0.897	0.017
101	17-06-2020	15:25	6	Baityk	KG	streamflow	streamflow	42.647609	74.495405	13	7.4	80	40	0.093	
102	17-06-2020	16:00	6	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	22	8	170	80	0.212	0.023
103	17-06-2020	17:00	6	Bridge	KG	streamflow	streamflow	42.950108	74.592261	24	7.9	610	300	3.17	0.031
104	28-07-2020	17:25	7	Alplager	KG	streamflow	streamflow	42.565388	74.479548	9	8.1	50	20	0.842	0.035
105	28-07-2020	17:40	7	Radnik	KG	growndwater	growndwater	42.630273	74.491362	12	8.1	130	60	0.723	0.018
106	28-07-2020	18:00	7	Baityk	KG	streamflow	streamflow	42.647609	74.495405	10	7.8	60	30	0.882	0.026
107	28-07-2020	18:30	7	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	14	7.6	80	40	0.826	0.016
108	28-07-2020	19:15	7	Bridge	KG	streamflow	streamflow	42.950108	74.592261	19	8.1	240	120	1.33	0.018
109	18-08-2020	14:30	8	Alplager	KG	streamflow	streamflow	42.565388	74.479548	7	7.6	60	30	0.689	2.73
110	18-08-2020	15:00	8	Baityk	KG	streamflow	streamflow	42.647609	74.495405	8	7.5	60	30	0.71	0.298
111	18-08-2020	15:30	8	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	12	7.5	80	40	0.781	0.118
112	18-08-2020	16:20	8	Bridge	KG	streamflow	streamflow	42.950108	74.592261	20	7.8	250	120	0.049	0.05
113	08-09-2020	11:55	9	Alplager	KG	streamflow	streamflow	42.565388	74.479548	8	8.1	60	30	0.96	1.84
114	08-09-2020	12:25	9	Radnik	KG	growndwater	growndwater	42.630273	74.491362	8	8.1	180	90	0.753	0.799
115	08-09-2020	12:40	9	Baityk	KG	streamflow	streamflow	42.647609	74.495405	8	7.7	80	40	0.244	0.003
116	08-09-2020	13:10	9	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	14	7.8	110	50	0.78	0.392
117	08-09-2020	14:15	9	Bridge	KG	streamflow	streamflow	42.950108	74.592261	20	7.3	450	220	1.89	0.092
118	17-09-2020	14:20	9	Alplager	KG	streamflow	streamflow	42.565388	74.479548	9	7.6	60	30	0.687	0.03
119	17-09-2020	15:05	9	Baityk	KG	streamflow	streamflow	42.647609	74.495405	10	7.6	100	40	0.725	0.032
120	17-09-2020	15:40	9	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	17	8	130	60	0.745	0.13
121	17-09-2020	16:25	9	Bridge	KG	streamflow	streamflow	42.950108	74.592261	20	8.2	420	210	2.47	0.337
122	08-10-2020	12:00	10	Alplager	KG	streamflow	streamflow	42.565388	74.479548	5	8	70	30	0.847	0.013
123	08-10-2020	12:30	10	Radnik	KG	growndwater	growndwater	42.630273	74.491362	4	8.1	210	100	0.726	0.035
124	08-10-2020	12:50	10	Baityk	KG	streamflow	streamflow	42.647609	74.495405	7	7.8	120	60	0.658	0.021
125	08-10-2020	13:20	10	Zarechnoe	KG	streamflow	streamflow	42.758631	74.571057	10	7.9	140	70	0.79	0.02
126	08-10-2020	14:15	10	Bridge	KG	streamflow	streamflow	42.950108	74.592261	11	8.4	400	200	1.94	0.133
1	03-06-2019	13:14	6	"Pskem river, Mulala gaging station"	UZ	muddy water	streamwater	41.771928	70.190761	11	8.2	160	80	0.57	
2	03-06-2019	14:35	6	"Chircik river, downstream Charvak reserv. Dam"	UZ	clear water	streamwater	41.630271	69.953152	14	8.3	190	90	0.7	
3	03-06-2019	14:57	6	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	clear water	groundwater	41.622935	69.940481	15	8	260	130	1.24	
4	03-06-2019	15:30	6	"Chircik river, downstream Gazalkent town"	UZ	clear water	streamwater	41.52991	69.68849	19	7.6	580	290	2.01	
5	03-06-2019	15:55	6	"Chirhik river, near Chirchik town"	UZ	clear water	streamwater	41.430512	69.582846	15	8.4	210	100	0.64	
6	03-06-2019	16:58	6	Chirchik river near Tashkent	UZ	clear water	streamwater	41.262264	69.375302	19	8.2	240	120	1.48	
7	03-06-2019	18:10	6	"Chirhik river, downstream Tashkent town"	UZ	clear water	streamwater	41.168056	69.231661	20	8	280	140	1.75	
8	03-06-2019	19:10	6	Chirchik river near inflow to Syrdarya river	UZ	muddy water	streamwater	40.900364	68.709182	23	8	500	250	2.03	0.06
9	16-06-2019	13:14	6	"Pskem river, Mulala gaging station"	UZ	clear water	streamwater	41.771928	70.190761	12	8.2	150	70	0.55	
10	16-06-2019	14:35	6	"Chircik river, downstream Charvak reserv. Dam"	UZ	clear water	streamwater	41.630271	69.953152	14	8.3	180	90	0.58	
11	16-06-2019	14:57	6	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	clear water	groundwater	41.622935	69.940481	16	8.1	260	120	1.07	
12	16-06-2019	15:30	6	"Chircik river, downstream Gazalkent town"	UZ	clear water	streamwater	41.52991	69.68849	18	8.2	150	70	1.13	0.12
13	16-06-2019	15:55	6	"Chirhik river, near Chirchik town"	UZ	clear water	streamwater	41.430512	69.582846	18	8.4	210	140	0.79	
14	16-06-2019	16:58	6	Chirchik river near Tashkent	UZ	muddy water	streamwater	41.262264	69.375302	21	7.9	460	230	5.16	
15	16-06-2019	18:10	6	"Chirhik river, downstream Tashkent town"	UZ	clear water	streamwater	41.168056	69.231661	28	7.8	510	250	4.71	
16	16-06-2019	19:10	6	Chirchik river near inflow to Syrdarya river	UZ	muddy water	streamwater	40.900364	68.709182	25	8.1	810	400	2.57	2.67
17	02-07-2019	12:45	7	"Pskem river, Mulala gaging station"	UZ	muddy water	streamwater	41.771928	70.190761	12	8.2	140	70	0.64	
18	02-07-2019	13:45	7	"Chircik river, downstream Charvak reserv. Dam"	UZ	clear water	streamwater	41.630271	69.953152	13	8.3	170	80	0.63	
19	02-07-2019	15:15	7	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	clear water	groundwater	41.622935	69.940481	16	8.2	250	120	6.73	
20	02-07-2019	16:30	7	"Chircik river, downstream Gazalkent town"	UZ	clear water	streamwater	41.52991	69.68849	18	8.2	240	120	3.58	
21	02-07-2019	15:10	7	"Chirhik river, near Chirchik town"	UZ	clear water	streamwater	41.430512	69.582846	18	8.3	200	100	0.74	
22	02-07-2019	17:10	7	Chirchik river near Tashkent	UZ	clear water	streamwater	41.262264	69.375302	27	8.5	390	190	4.44	0.06
23	02-07-2019	18:20	7	"Chirhik river, downstream Tashkent town"	UZ	clear water	streamwater	41.168056	69.231661	26	8.1	490	240	4.17	
24	02-07-2019	19:10	7	Chirchik river near inflow to Syrdarya river	UZ	clear water	streamwater	40.900364	68.709182	27	8	800	390	1.92	0.02
25	31-07-2019	12:30	7	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	13	8.1	160	70	0.57	0.01
26	31-07-2019	13:50	7	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	15	8.4	170	80	0.39	0.01
27	31-07-2019	14:10	7	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	springwater	groundwater	41.622935	69.940481	16	8.2	270	130	1.77	0.02
28	31-07-2019	15:55	7	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	17	8	260	130	0.81	0.01
29	31-07-2019	16:20	7	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	20	8.4	190	90	0.56	0
30	31-07-2019	10:30	7	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	24	7.9	510	250	4.47	0.08
31	31-07-2019	09:10	7	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	23	7.7	610	300	4.76	0.01
32	31-07-2019	08:10	7	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	27	8	880	430	0.84	0.07
35	15-08-2019		8	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	11	8.3	150	70	0.45	
36	15-08-2019		8	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	17	8.8	170	80	0.41	
37	15-08-2019		8	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	springwater	groundwater	41.622935	69.940481	16	8.3	200	130	1.07	
38	15-08-2019		8	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	19	7.9	640	320	2.37	0.29
39	15-08-2019		8	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	17	8.4	200	100	0.64	0.06
40	15-08-2019		8	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	23	8.5	420	210	5.31	
41	15-08-2019		8	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	25	8.1	560	270	4.98	
42	15-08-2019		8	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	28	7.8	 	500	0.96	0.01
45	15-08-2019		8	Bore hole near Yangiyul	UZ	groundwater	groundwater	41.09439	69.05308	23	7.4	810	420	5.64	0.78
45	05-09-2019	14:30	9	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	14	8.3	160	80	0.5	4.41
47	05-09-2019	15:50	9	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	17	8.5	160	80	0.41	2.37
48	05-09-2019	13:00	9	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	springwater	groundwater	41.622935	69.940481	16	8.2	260	120	1.06	2
49	05-09-2019	16:23	9	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	21	8.1	520	250	2.74	2.92
50	05-09-2019	12:35	9	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	20	8.3	230	110	0.88	2.92
51	05-09-2019	18:25	9	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	24	8.7	450	220	5.39	2.86
52	05-09-2019	11:00	9	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	21	8	560	280	4.17	2.16
53	05-09-2019	09:40	9	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	23	8	990	480	2.26	3.27
54	05-09-2019	10:30	9	Bore hole near Yangiyul	UZ	groundwater	groundwater	41.09439	69.05308	22	7.4	870	430	5.5	1.32
55	24-09-2019	12:40	9	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	13	8.2	180	90	0.52	0.01
56	24-09-2019	13:25	9	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	18	8.5	180	90	0.364	0.01
57	24-09-2019	13:40	9	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	springwater	groundwater	41.622935	69.940481	16	8.2	270	140	1.07	0.03
58	24-09-2019	14:45	9	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	19	7.9	490	240	2.53	0.01
59	24-09-2019	15:00	9	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	20	8.4	280	140	1.09	0.01
60	24-09-2019	15:40	9	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	23	8.3	460	230	6.19	0.1
61	24-09-2019	16:10	9	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	24	7.9	530	260	3.84	0.16
62	24-09-2019	18:10	9	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	23	7.9	870	440	3.06	0.13
59	21-11-2019	10:00	11	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	0.6	8.3	220	110	0.467	2.17
60	21-11-2019	12:10	11	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	11	8	240	120	0.369	2.24
61	21-11-2019	12:30	11	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	13	8.2	280	140	0.972	1.98
62	21-11-2019	13:10	11	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	10	8.2	570	280	2.084	2.24
63	21-11-2019	13:50	11	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	12	8.3	260	130	0.855	1.98
64	21-11-2019	13:50	11	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	13	7.7	380	190	1.61	1.66
65	21-11-2019	14:40	11	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	13	8	520	260	5.37	2.47
66	21-11-2019	15:30	11	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	12	7.6	600	300	4.25	2.28
67	21-11-2019	16:20	11	Bore hole near Yangiyul	UZ	groundwater	groundwater	41.09439	69.05308	14	7.6	860	420	5.33	1.37
68	21-11-2019	17:40	11	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	12	8	860	420	3.93	1.66
69	16-12-2019	10:00	12	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	1	8.6	220	100	0.443	1.63
70	16-12-2019	12:10	12	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	8	8.2	220	110	0.382	3.59
71	16-12-2019	12:30	12	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	10	8.2	290	140	0.98	1.32
72	16-12-2019	13:10	12	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	5	8.2	590	290	3.04	3.04
73	16-12-2019	13:50	12	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	8	8.2	260	130	0.72	2.65
74	16-12-2019	13:50	12	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	12	7.6	290	190	1.72	2.25
75	16-12-2019	14:40	12	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	10	8.2	470	230	5.42	3.61
76	16-12-2019	15:30	12	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	9	7.8	520	260	3.52	4.23
77	16-12-2019	17:40	12	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	13	8.1	1060	530	2.61	
78	02-02-2020	10:27	2	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	2	8.3	200	100	0.548	1.75
79	02-02-2020	11:44	2	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	5	8.4	220	110	0.525	2.45
80	02-02-2020	12:00	2	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	9	8.4	270	130	0.969	1.86
81	02-02-2020	13:30	2	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	6	8.4	450	220	2.03	1.71
82	02-02-2020	14:00	2	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	8	8.3	410	200	1.27	0.674
83	02-02-2020	14:05	2	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	11	7.7	370	180	1.82	0.507
84	02-02-2020	15:00	2	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	8	8.4	410	200	3.93	2.14
85	02-02-2020	16:00	2	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	14	7.8	420	210	3.64	0.978
86	02-02-2020	16:50	2	Bore hole near Yangiyul	UZ	groundwater	groundwater	41.09439	69.05308	19	7.4	950	470	5.8	2.04
87	02-02-2020	17:40	2	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	10	8.3	660	330	3.53	4.37
88	06-06-2020	10:10	6	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	9	8.1	140	70	0.552	0.001
89	06-06-2020	12:32	6	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	17	8.2	150	70	0.553	0.014
90	06-06-2020	13:00	6	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	16	8	240	120	1.14	0.017
91	06-06-2020	13:30	6	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	17	8	430	210	1.78	0.012
92	06-06-2020	14:25	6	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	17	8.1	280	140	1.06	0.011
93	06-06-2020	13:05	6	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	15	7.5	340	170	1.92	0.01
94	06-06-2020	15:36	6	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	21	7.6	370	370	4.77	0.01
95	06-06-2020	16:25	6	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	22	8	570	370	5.2	0.096
96	06-06-2020	17:30	6	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	26	7.9	900	440	1.87	0.11
97	19-06-2020	09:00	6	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	10	8.4	140	70	0.421	0.01
98	19-06-2020	10:30	6	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	16	8.4	170	80	0.422	0.009
99	19-06-2020	10:50	6	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	17	8.1	250	120	1.12	0.016
100	19-06-2020	11:30	6	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	17	8.2	290	140	1.06	0.009
101	19-06-2020	12:10	6	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	19	8.4	220	110	0.806	0.007
102	19-06-2020	12:20	6	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	15	7.7	350	170	1.86	0.013
103	19-06-2020	14:00	6	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	24	8.3	510	250	6.09	0.095
104	19-06-2020	15:30	6	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	25	8.1	550	270	4.9	0.011
105	19-06-2020	17:00	6	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	27	8.3	1060	520	1.61	0.053
106	04-07-2020	09:55	7	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	11	8.1	150	70	0.451	0.005
107	04-07-2020	11:50	7	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	14	8.2	180	90	0.514	0.005
108	04-07-2020	12:30	7	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	16	8.1	250	120	1.16	0.008
109	04-07-2020	13:10	7	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	22	7.9	520	260	2.32	0.004
110	04-07-2020	13:50	7	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	19	8.2	180	90	0.649	0.004
111	04-07-2020	13:55	7	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	15	7.5	360	180	1.79	0.014
112	04-07-2020	14:40	7	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	25	8.2	510	250	5.11	0.072
113	04-07-2020	15:20	7	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	26	7.8	590	290	4.52	0.005
114	04-07-2020	15:55	7	Bore hole near Yangiyul	UZ	groundwater	groundwater	41.09439	69.05308	23	7.4	890	440	5.59	0.011
115	04-07-2020	17:00	7	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	26	8.1	1140	560	0.481	0.052
116	30-07-2020	14:15	7	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	17	8.1	130	60	0.415	0.009
117	30-07-2020	15:45	7	"Chirchik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	20	8.1	130	60	0.461	0.006
118	30-07-2020	16:05	7	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	29	8.2	220	110	1.18	0.011
119	30-07-2020	17:45	7	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	23	7.9	370	180	1.48	0.009
120	30-07-2020	18:30	7	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	21	8.2	250	120	0.903	0.007
121	30-07-2020	18:45	7	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	20	7.7	330	160	1.66	0.012
122	03-08-2020	09:00	8	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	21	7.7	30	150	4.97	0.072
123	03-08-2020	08:15	8	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	21	8.1	700	340	1.63	0.001
146	16-08-2020		8	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	14	8.1	160	80	0.46	0.012
147	16-08-2020		8	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	19	8.2	160	80	0.43	0.007
148	16-08-2020		8	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	18	7.9	280	130	1.12	0.014
149	16-08-2020		8	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	23	8	570	280	2.83	0.004
150	16-08-2020		8	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	20	8.5	230	110	0.643	0.007
151	16-08-2020		8	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	17	7.6	410	200	1.41	0.011
153	03-09-2020	11:40	9	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	14	8.2	160	80	0.46	0.019
154	03-09-2020	13:25	9	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	19	8.4	170	80	0.385	0.707
155	03-09-2020	13:40	9	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	17	8.2	260	120	1.1	0.107
156	03-09-2020	14:45	9	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	22	8	560	270	2.83	0.019
157	03-09-2020	15:00	9	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	22	8.2	450	220	1.76	0.2
158	03-09-2020	15:40	9	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	14	7.7	440	210	6.29	0.146
159	03-09-2020	16:10	9	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	26	8	520	260	5.17	0.199
160	20-09-2020	14:20	9	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	11	8.1	170	80	0.46	0.033
131	20-09-2020	15:30	9	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	19	8.4	170	80	0.455	0.018
162	20-09-2020	15:45	9	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	16	8.2	240	120	1.06	0.045
163	20-09-2020	16:15	9	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	17	8.1	320	150	1.34	0.028
164	20-09-2020	16:40	9	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	19	8.2	310	150	1.14	0.304
165	20-09-2020	16:45	9	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	16	7.5	360	180	1.45	0.014
166	20-09-2020	17:20	9	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	19	8.1	520	260	6.56	0.965
167	20-09-2020	19:00	9	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	21	7.8	510	250	5.39	0.248
168	20-09-2020	20:40	9	Chirchik river near inflow to Syrdarya river	UZ	streamwater	streamwater	40.900364	68.709182	18	8	560	280	1.86	0.074
169	04-10-2020	12:45	10	"Pskem river, Mulala gaging station"	UZ	streamwater	streamwater	41.771928	70.190761	10	8.3	190	90	0.485	0.056
170	04-10-2020	15:30	10	"Chircik river, downstream Charvak reserv. Dam"	UZ	streamwater	streamwater	41.630271	69.953152	18	8.5	170	80	0.398	0.156
171	04-10-2020	15:45	10	"Spring on left bank of Chirhik, Hodjakent vil."	UZ	groundwater	groundwater	41.622935	69.940481	16	8.4	260	130	1.01	0.028
172	04-10-2020	16:15	10	"Chircik river, downstream Gazalkent town"	UZ	streamwater	streamwater	41.52991	69.68849	19	8.1	530	260	2.89	0.079
173	04-10-2020	16:40	10	"Chirhik river, near Chirchik town"	UZ	streamwater	streamwater	41.430512	69.582846	17	8.1	450	220	1.62	0.024
174	04-10-2020	16:45	10	"a source, near Chirchik town"	UZ	groundwater	groundwater	41.430512	69.582846	16	7.5	360	180	1.56	0.277
175	04-10-2020	17:20	10	Chirchik river near Tashkent	UZ	streamwater	streamwater	41.262264	69.375302	20	7.6	430	210	6.4	0.4
176	04-10-2020	19:00	10	"Chirhik river, downstream Tashkent town"	UZ	streamwater	streamwater	41.168056	69.231661	21	7.9	550	270	3.35	0.03
1	23-07-2019	08:40	7	Maykhura river	TJ	MH1	streamwater	39.026767	68.784795	7	8.2	170	80	0.46	0.006
2	23-07-2019	10:00	7	"Varzob river, Gauging station"	TJ	GP2	streamwater	38.872408	68.832686	9	8.1	110	60	0.54	0.014
3	23-07-2019	11:20	7	Luchob river	TJ	LU3	streamwater	38.587298	68.771622	22	8.2	110	50	0.44	0.006
4	23-07-2019	14:50	7	Kafarnigan river	TJ	KF4	streamwater	38.493434	68.783604	19	8	110	60	0.63	0.009
5	23-07-2019	13:15	7	"South-East water uptake,  drinking water facility"	TJ	GWP5	groundwater	38.522381	68.720056	22	7.2	460	220	5.82	0.006
6	23-07-2019	15:09	7	Potable water well	TJ	GWP6	groundwater	38.489616	68.785221	21	6.9	700	350	10	0.006
7	07-08-2019	08:30	8	Maykhura river	TJ	MH1	streamwater	39.026767	68.784795	8	8.2	150	80	0.56	0.025
8	07-08-2019	09:22	8	"Varzob river, Gauging station"	TJ	GP2	streamwater	38.872408	68.832686	10	8.1	110	60	0.47	0.009
9	07-08-2019	10:48	8	Luchob river	TJ	LU3	streamwater	38.587298	68.771622	23	8.3	130	60	0.34	0.023
10	07-08-2019	13:09	8	Kafarnigan river	TJ	KF4	streamwater	38.493434	68.783604	20	7.4	280	140	2.59	0.017
